instrument,industry
SZ000019,801200.SI
SZ000034,801770.SI
SZ000048,801180.SI
SZ000061,801200.SI
SZ000505,801180.SI
SZ000557,801170.SI
SZ000576,801740.SI
SZ000592,801180.SI
SZ000626,801200.SI
SZ000639,801120.SI
SZ000663,801140.SI
SZ000672,801710.SI
SZ000702,801010.SI
SZ000713,801010.SI
SZ000722,801230.SI
SZ000735,801010.SI
SZ000780,801950.SI
SZ000798,801010.SI
SZ000829,801200.SI
SZ000860,801120.SI
SZ000876,801010.SI
SZ000893,801110.SI
SZ000911,801120.SI
SZ000918,801180.SI
SZ000930,801010.SI
SZ000972,801010.SI
SZ000998,801010.SI
SZ001201,801010.SI
SZ001313,801010.SI
SZ001338,801010.SI
SZ001366,801010.SI
SZ002041,801010.SI
SZ002069,801010.SI
SZ002086,801150.SI
SZ002100,801150.SI
SZ002124,801010.SI
SZ002141,801080.SI
SZ002143,801760.SI
SZ002157,801010.SI
SZ002173,801150.SI
SZ002200,801720.SI
SZ002215,801030.SI
SZ002220,801120.SI
SZ002234,801010.SI
SZ002286,801120.SI
SZ002299,801010.SI
SZ002310,801720.SI
SZ002311,801010.SI
SZ002321,801010.SI
SZ002385,801010.SI
SZ002447,801760.SI
SZ002458,801010.SI
SZ002477,801010.SI
SZ002481,801120.SI
SZ002505,801200.SI
SZ002548,801010.SI
SZ002556,801200.SI
SZ002567,801010.SI
SZ002604,801120.SI
SZ002661,801120.SI
SZ002679,801010.SI
SZ002688,801010.SI
SZ002696,801010.SI
SZ002714,801010.SI
SZ002746,801010.SI
SZ002772,801010.SI
SZ002852,801010.SI
SZ002868,801010.SI
SZ002891,801120.SI
SZ002982,801010.SI
SZ003030,801120.SI
SZ300021,801010.SI
SZ300087,801010.SI
SZ300094,801010.SI
SZ300106,801120.SI
SZ300119,801150.SI
SZ300138,801120.SI
SZ300143,801150.SI
SZ300149,801150.SI
SZ300175,801010.SI
SZ300186,801150.SI
SZ300189,801010.SI
SZ300268,801010.SI
SZ300313,801010.SI
SZ300498,801010.SI
SZ300511,801010.SI
SZ300673,801010.SI
SZ300761,801010.SI
SZ300829,801030.SI
SZ300871,801010.SI
SZ300967,801010.SI
SZ300970,801010.SI
SZ300972,801120.SI
SZ300999,801010.SI
SZ301116,801010.SI
SZ301498,801010.SI
SH600093,801790.SI
SH600097,801010.SI
SH600108,801010.SI
SH600127,801010.SI
SH600180,801170.SI
SH600189,801120.SI
SH600191,801120.SI
SH600195,801150.SI
SH600201,801150.SI
SH600225,801750.SI
SH600226,801760.SI
SH600242,801760.SI
SH600248,801720.SI
SH600251,801030.SI
SH600257,801010.SI
SH600265,801010.SI
SH600275,801230.SI
SH600298,801120.SI
SH600311,801050.SI
SH600313,801010.SI
SH600354,801010.SI
SH600359,801010.SI
SH600371,801010.SI
SH600438,801730.SI
SH600467,801010.SI
SH600506,801960.SI
SH600537,801730.SI
SH600538,801150.SI
SH600540,801010.SI
SH600543,801120.SI
SH600559,801120.SI
SH600598,801010.SI
SH600672,801010.SI
SH600695,801790.SI
SH600703,801080.SI
SH600737,801120.SI
SH600762,801010.SI
SH600844,801140.SI
SH600873,801120.SI
SH600883,801710.SI
SH600893,801740.SI
SH600962,801120.SI
SH600965,801210.SI
SH600975,801010.SI
SH601118,801010.SI
SH601952,801010.SI
SH603151,801010.SI
SH603182,801010.SI
SH603231,801010.SI
SH603336,801010.SI
SH603363,801010.SI
SH603477,801130.SI
SH603566,801010.SI
SH603609,801010.SI
SH603668,801010.SI
SH603718,801010.SI
SH603739,801030.SI
SH605016,801030.SI
SH605198,801010.SI
SH605296,801010.SI
SH688098,801010.SI
SH688156,801970.SI
SH688526,801010.SI
SZ000013,801030.SI
SZ000036,801180.SI
SZ000049,801730.SI
SZ000059,801960.SI
SZ000096,801960.SI
SZ000155,801200.SI
SZ000156,801760.SI
SZ000159,801960.SI
SZ000301,801960.SI
SZ000407,801160.SI
SZ000408,801200.SI
SZ000420,801030.SI
SZ000422,801030.SI
SZ000498,801720.SI
SZ000510,801030.SI
SZ000515,801030.SI
SZ000520,801170.SI
SZ000523,801980.SI
SZ000525,801030.SI
SZ000545,801150.SI
SZ000553,801030.SI
SZ000554,801960.SI
SZ000565,801030.SI
SZ000578,801230.SI
SZ000584,801890.SI
SZ000589,801880.SI
SZ000598,801970.SI
SZ000599,801880.SI
SZ000606,801750.SI
SZ000609,801180.SI
SZ000615,801980.SI
SZ000618,801030.SI
SZ000620,801230.SI
SZ000627,801790.SI
SZ000635,801160.SI
SZ000637,801960.SI
SZ000650,801150.SI
SZ000652,801230.SI
SZ000662,801750.SI
SZ000665,801760.SI
SZ000668,801180.SI
SZ000670,801180.SI
SZ000677,801030.SI
SZ000683,801030.SI
SZ000686,801790.SI
SZ000687,801770.SI
SZ000691,801230.SI
SZ000695,801730.SI
SZ000698,801960.SI
SZ000703,801960.SI
SZ000707,801030.SI
SZ000719,801760.SI
SZ000728,801790.SI
SZ000731,801030.SI
SZ000732,801180.SI
SZ000737,801050.SI
SZ000755,801170.SI
SZ000763,801030.SI
SZ000782,801030.SI
SZ000783,801790.SI
SZ000791,801160.SI
SZ000792,801030.SI
SZ000818,801030.SI
SZ000819,801960.SI
SZ000822,801030.SI
SZ000830,801030.SI
SZ000832,801030.SI
SZ000838,801180.SI
SZ000839,801770.SI
SZ000859,801030.SI
SZ000861,801200.SI
SZ000866,801030.SI
SZ000881,801230.SI
SZ000902,801130.SI
SZ000912,801030.SI
SZ000920,801970.SI
SZ000936,801130.SI
SZ000949,801030.SI
SZ000950,801150.SI
SZ000953,801150.SI
SZ000973,801030.SI
SZ000976,801890.SI
SZ000979,801180.SI
SZ000985,801960.SI
